Price,Close,High,Low,Open,Volume
Ticker,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS
Date,,,,,
2022-02-03,136.10733032226562,139.15450935933129,134.88845870743936,138.13878301364272,12529302
2022-02-04,137.81373596191406,140.33272950191866,137.36681395350956,138.13876338675288,17434362
2022-02-07,139.84523010253906,140.82032506708157,137.48873717263905,138.7076089780685,11723574
2022-02-08,135.66038513183594,140.57650228699046,135.29472618950237,139.76392134891537,13231599
2022-02-09,133.22265625,137.81374646965992,132.53196981980506,136.43234881126517,17938632
2022-02-10,137.40745544433594,138.46380085115507,134.19775049607014,134.76656712928337,26763203
2022-02-11,136.63548278808594,138.5450529942346,135.78228270351025,136.47296907669065,12884995
2022-02-14,135.05096435546875,143.29866922795077,134.23838332757904,137.24493065097045,44604164
2022-02-15,133.3851776123047,138.13878182896138,127.0876743230432,138.13878182896138,31146458
2022-02-16,136.96054077148438,137.24493670438804,133.66958498357744,133.66958498357744,15960268
2022-02-17,139.560791015625,140.08896372216756,136.91990268490719,136.9605342159495,24640791
2022-02-18,136.43234252929688,139.56078428361027,135.45724782632968,139.1138622617081,11829998
2022-02-21,134.17422485351562,137.58196219955593,133.8868334700939,137.45878372414856,14222260
2022-02-22,135.4469757080078,136.7197446051461,134.05104088162224,136.7197446051461,29399172
2022-02-23,131.9982147216797,136.63764929414828,131.0949559854619,136.51448334357232,21301826
2022-02-24,128.6315155029297,133.3530682827568,128.0977797657442,131.99819293168835,28766189
2022-02-25,130.97177124023438,131.71079189683599,128.75469674083308,130.88965226523578,20225258
2022-02-28,131.91607666015625,132.90145424067367,127.9335569690179,131.7929107273898,20210070
2022-03-02,133.8047332763672,138.23889589215912,132.94253394582992,136.0218083194634,41103406
2022-03-03,139.84010314941406,141.07181278514656,133.76366142870816,138.1978236351041,42345653
2022-03-04,135.69332885742188,140.414881903898,134.54373834490124,139.6758612215057,32658756
2022-03-07,153.51205444335938,155.85230744827342,137.21243997425896,137.21243997425896,132538155
2022-03-08,147.0661163330078,160.08117226829575,145.99863228204367,156.01653350654456,73127816
2022-03-09,144.0279083251953,150.92548979980202,142.75515172588422,150.2685754884683,51977091
2022-03-10,143.1656951904297,145.25959116018797,135.48803486932928,138.15673858645243,62112814
2022-03-11,144.27423095703125,144.84902619399224,140.9896724262868,141.64658663835496,26187452
2022-03-14,141.07179260253906,144.11000676342707,140.0864275408452,142.87829730391059,20214021
2022-03-15,134.46160888671875,139.18316156518367,132.73721072274537,138.19779655559714,42333127
2022-03-16,137.3766632080078,137.82829251240977,132.90145471078077,136.30917917840225,25545119
2022-03-17,139.84010314941406,140.82546835208038,135.1596090395503,136.8018885538603,66314748
2022-03-21,141.68765258789062,143.6994422738045,139.84008833008457,140.9896788564362,20614652
2022-03-22,144.06895446777344,148.83156712158356,142.71407900650547,144.68480922827655,39742745
2022-03-23,144.192138671875,145.91652455210087,143.57628388688053,144.9311594020293,10994784
2022-03-24,145.71124267578125,148.13360237491105,144.93116243770186,146.90189277912322,20332589
2022-03-25,144.35633850097656,147.1892675034929,143.78154330953194,146.57341282774607,13608989
2022-03-28,144.80799865722656,146.08075523491098,143.4120510707629,144.11002486399474,15253027
2022-03-29,140.41488647460938,143.86367065403118,140.04537612138512,143.6583857322847,14210783
2022-03-30,133.02462768554688,135.36488077703885,132.32665394819745,133.84576736261815,95239532
2022-03-31,134.5847930908203,135.6933367081419,132.32665889446696,132.90146671358045,33523683
2022-04-01,137.91041564941406,138.15676007523004,134.29740583610607,134.5847972248931,28335224
2022-04-04,137.99252319335938,138.8136628582653,135.7754486040328,137.08926455012408,17745513
2022-04-05,141.11285400390625,141.8518746777985,139.01894538841591,139.79902555076814,20054934
2022-04-06,141.89292907714844,142.46772430618208,139.84008002374526,140.08642441607287,12969222
2022-04-07,138.64944458007812,142.71408362501904,138.11569625261063,140.08643906775606,24550313
2022-04-08,140.332763671875,140.66122705548153,138.52625891562838,138.77260332093405,9529874
2022-04-11,140.57908630371094,141.85185509266105,139.2242110787739,140.41486090214207,9724979
